rating_id,company_id,analyst_firm,rating,target_price_usd,rating_date
1,1,B of A Securities,Buy,,2026-06-18
2,1,TD Cowen,Buy,,2026-06-09
3,1,Maxim Group,Buy,,2026-06-09
4,1,Rosenblatt,Neutral,,2026-06-09
5,1,Morgan Stanley,Overweight,,2026-06-09
6,1,Needham,Hold,,2026-06-09
7,1,Wedbush,Outperform,,2026-06-05
8,1,B of A Securities,Buy,,2026-05-26
9,1,Tigress Financial,Buy,,2026-05-14
10,1,Evercore ISI Group,Outperform,,2026-05-14
11,1,Wedbush,Outperform,,2026-05-08
12,1,UBS,Neutral,,2026-05-01
13,1,Maxim Group,Buy,,2026-05-01
14,1,TD Cowen,Buy,,2026-05-01
15,1,Wedbush,Outperform,,2026-05-01
16,1,Barclays,Underweight,,2026-05-01
17,1,Wells Fargo,Overweight,,2026-05-01
18,1,DA Davidson,Neutral,,2026-05-01
19,1,Rosenblatt,Neutral,,2026-05-01
20,1,Morgan Stanley,Overweight,,2026-05-01
21,1,Needham,Hold,,2026-05-01
22,1,UBS,Neutral,,2026-04-28
23,1,Wedbush,Outperform,,2026-04-21
24,1,Rosenblatt,Neutral,,2026-04-21
25,1,BNP Paribas,Outperform,,2026-04-17
26,1,B of A Securities,Buy,,2026-04-14
27,1,Wedbush,Outperform,,2026-03-31
28,1,Wedbush,Outperform,,2026-03-27
29,1,Morgan Stanley,Overweight,,2026-03-23
30,1,B of A Securities,Buy,,2026-03-23
31,1,Wedbush,Outperform,,2026-03-05
32,1,Rosenblatt,Neutral,,2026-03-05
33,1,Barclays,Underweight,,2026-03-03
34,1,Wedbush,Outperform,,2026-02-17
35,1,Jefferies,Hold,,2026-01-30
36,1,Maxim Group,Buy,,2026-01-30
37,1,JP Morgan,Overweight,,2026-01-30
38,1,TD Cowen,Buy,,2026-01-30
39,1,Barclays,Underweight,,2026-01-30
40,1,DA Davidson,Neutral,,2026-01-30
41,1,Wedbush,Outperform,,2026-01-30
42,1,Needham,Hold,,2026-01-30
43,1,Rosenblatt,Neutral,,2026-01-30
