company_id,ticker,name,sector_id,exchange,market_cap_usd
1,AAPL,Apple Inc.,1,NASDAQ,4376979046400.0
2,MSFT,Microsoft Corporation,2,NASDAQ,2818348154880.0
3,NVDA,NVIDIA Corporation,3,NASDAQ,5103122644992.0
4,AMD,"Advanced Micro Devices, Inc.",3,NASDAQ,876235849728.0
5,INTC,Intel Corporation,3,NASDAQ,673433780224.0
6,GOOGL,Alphabet Inc.,4,NASDAQ,4490912595968.0
7,META,"Meta Platforms, Inc.",4,NASDAQ,1465228591104.0
8,NFLX,"Netflix, Inc.",5,NASDAQ,325831589888.0
9,ORCL,Oracle Corporation,2,NYSE,530026528768.0
10,CRM,"Salesforce, Inc.",6,NYSE,124307816448.0
11,ADBE,Adobe Inc.,6,NASDAQ,77576101888.0
12,QCOM,QUALCOMM Incorporated,3,NASDAQ,238319943680.0
13,CSCO,"Cisco Systems, Inc.",7,NASDAQ,471159111680.0
14,IBM,International Business Machines Corporation,8,NYSE,234125443072.0
15,NOW,"ServiceNow, Inc.",6,NYSE,98015518720.0
16,AMZN,"Amazon.com, Inc.",9,NASDAQ,2628929978368.0
17,TSLA,"Tesla, Inc.",10,NASDAQ,1504129843200.0
18,EBAY,eBay Inc.,9,NASDAQ,48058560512.0
19,HD,"The Home Depot, Inc.",11,NYSE,333316161536.0
20,NKE,"NIKE, Inc.",12,NYSE,66936094720.0
21,MCD,McDonald's Corporation,13,NYSE,197954027520.0
22,SBUX,Starbucks Corporation,13,NASDAQ,114710806528.0
23,F,Ford Motor Company,10,NYSE,56024780800.0
24,GM,General Motors Company,10,NYSE,71493033984.0
25,TGT,Target Corporation,14,NYSE,59380948992.0
26,JPM,JPMorgan Chase & Co.,15,NYSE,871430684672.0
27,BAC,Bank of America Corporation,15,NYSE,398828404736.0
28,WFC,Wells Fargo & Company,15,NYSE,251547566080.0
29,V,Visa Inc.,16,NYSE,622326579200.0
30,MA,Mastercard Incorporated,16,NYSE,432770547712.0
31,GS,"The Goldman Sachs Group, Inc.",17,NYSE,323493363712.0
32,MS,Morgan Stanley,17,NYSE,352002670592.0
33,AXP,American Express Company,16,NYSE,230626344960.0
34,PFE,Pfizer Inc.,18,NYSE,143682977792.0
35,JNJ,Johnson & Johnson,18,NYSE,549784256512.0
36,MRK,"Merck & Co., Inc.",18,NYSE,281238929408.0
37,ABBV,AbbVie Inc.,18,NYSE,382492999680.0
38,UNH,UnitedHealth Group Incorporated,19,NYSE,364129550336.0
39,LLY,Eli Lilly and Company,18,NYSE,979640254464.0
40,AMGN,Amgen Inc.,18,NASDAQ,182205513728.0
41,XOM,Exxon Mobil Corporation,20,NYSE,571215183872.0
42,CVX,Chevron Corporation,20,NYSE,345801129984.0
43,COP,ConocoPhillips,21,NYSE,131258990592.0
44,SLB,SLB N.V.,22,NYSE,71897325568.0
45,PSX,Phillips 66,23,NYSE,66611343360.0
46,DIS,The Walt Disney Company,5,NYSE,180406173696.0
47,T,AT&T Inc.,24,NYSE,152932941824.0
48,VZ,Verizon Communications Inc.,24,NYSE,189445095424.0
49,CMCSA,Comcast Corporation,24,NASDAQ,80125091840.0
50,SONY,Sony Group Corporation,1,NYSE,119740989440.0
